"Textstelle","CTH","Fundort","Dat","RefNr","Toponyms"
"KUB 53.8 Vs. 8",638,"Ḫattuša","jh.","(Bo 2392)","Ḫanḫana:cho"
"KUB 54.1 I 12",389,"T.I","jh.","(552/u)","Liprašša:oik"
"KUB 54.1 I 25",389,"T.I","jh.","(552/u)","Kummanni:cho"
"KUB 54.1 I 30",389,"T.I","jh.","(552/u)","Šahḫupidda:oro"
"KUB 54.1 I 37",389,"T.I","jh.","(552/u)","Pipišuwa:oik"
"KUB 54.1 I 42",389,"T.I","jh.","(552/u)","Liprašša:oik"
"KUB 54.1 I 57",389,"T.I","jh.","(552/u)","Arušna:oik"
"KUB 54.1 I 60",389,"T.I","jh.","(552/u)","Arušna:oik"
"KUB 54.1 II 3",389,"T.I","jh.","(552/u)","Šamuḫa:cho"
"KUB 54.1 II 51",389,"T.I","jh.","(552/u)","Ḫurri:cho"
"KUB 54.1 II 9",389,"T.I","jh.","(552/u)","Šullama:oro, Šullama:oik"
"KUB 54.1 III 19'",389,"T.I","jh.","(552/u)","Pi[:oro, Pi[:oik"
"KUB 54.1 IV 12'",389,"T.I","jh.","(552/u)","Ḫatti:cho"
"KUB 54.1 IV 21'",389,"T.I","jh.","(552/u)","Šullama:oro, Šullama:oik"
"KUB 54.20 III 7'",694,"Ḫattuša","jh.","(Bo 6045)","Šarmamma:hyd"
"KUB 54.36 Vs. 11",706,"Bk. D","jh.","(456/e)","Pipita:oik"
"KUB 54.36 Vs. 9",706,"Bk. D","jh.","(456/e)","Manuziya:oro, Manuziya:oik"
"KUB 54.43 Vs. 1",644,"Ḫattuša","jh.","(Bo 1344)","Ziya (?):hyd"
"KUB 54.45 Rs.? 6'",528,"Ḫattuša","sjh.","(Bo 158)","Katapa:cho"
"KUB 54.45 Rs.? 8'",528,"Ḫattuša","sjh.","(Bo 158)","Katapa:cho"
"KUB 54.47 4'",628,"Ḫattuša","jh.","(Bo 1316)","Izziya:oik"
"KUB 54.47 6'",628,"Ḫattuša","jh.","(Bo 1316)","Zara:oro"
"KUB 54.48 4'",628,"Ḫattuša","mh.","(Bo 1388)","Ellipra:oik"
"KUB 54.49 Vs. 1",670,"Ḫattuša","jh.","(Bo 1401)","Ḫatti:cho"
"KUB 54.50 I? 3'",668,"Ḫattuša","ah.","(Bo 1291)","Takalmuḫa:oik"
"KUB 54.60 Vs. 11'",832,"Ḫattuša","jh.","(Bo 1544)","Murišta:oro"
"KUB 54.60 Vs. 15'",832,"Ḫattuša","jh.","(Bo 1544)","Murišta:oro"
"KUB 54.60 Vs. 3'",832,"Ḫattuša","jh.","(Bo 1544)","Murišta:oro"
"KUB 54.60 Vs. 5'",832,"Ḫattuša","jh.","(Bo 1544)","Murišta:oro"
"KUB 54.63 Vs. 2",635,"Ḫattuša","jh.","(Bo 1555)","Zippalanda:oik"
"KUB 54.63 Vs. 6",635,"Ḫattuša","jh.","(Bo 1555)","Zippalanda:oik"
"KUB 54.63 Vs. 7",635,"Ḫattuša","jh.","(Bo 1555)","Zippalanda:oik"
"KUB 54.64 Rs. 1",821,"Ḫattuša","sjh.","(Bo 1580)","Nerik:hyd, Nerik:cho"
"KUB 54.64 Vs. 10'",821,"Ḫattuša","sjh.","(Bo 1580)","Zaḫaluka:oik"
"KUB 54.64 Vs. 11'",821,"Ḫattuša","sjh.","(Bo 1580)","Zaḫaluka:oik"
"KUB 54.64 Vs. 13'",821,"Ḫattuša","sjh.","(Bo 1580)","Nerik:hyd, Nerik:cho"
"KUB 54.64 Vs. 14'",821,"Ḫattuša","sjh.","(Bo 1580)","Zaḫaluka:oik"
"KUB 54.64 Vs. 19'",821,"Ḫattuša","sjh.","(Bo 1580)","Zaḫaluka:oik"
"KUB 54.64 Vs. 20'",821,"Ḫattuša","sjh.","(Bo 1580)","Nerik:hyd, Nerik:cho"
"KUB 54.64 Vs. 27'",821,"Ḫattuša","sjh.","(Bo 1580)","Kaštama:cho"
"KUB 54.64 Vs. 3'",821,"Ḫattuša","sjh.","(Bo 1580)","Nerik:hyd, Nerik:cho"
"KUB 54.64 Vs. 6'",821,"Ḫattuša","sjh.","(Bo 1580)","Kaštama:cho"
"KUB 54.67 Rs. 12'",528,"Ḫattuša","sjh.","(Bo 1583)","Ḫadanta:oik"
"KUB 54.67 Rs. 14'",528,"Ḫattuša","sjh.","(Bo 1583)","Tawiniya:cho"
"KUB 54.67 Rs. 15'",528,"Ḫattuša","sjh.","(Bo 1583)","Ḫadanta:oik"
"KUB 54.67 Rs. 5'",528,"Ḫattuša","sjh.","(Bo 1583)","Ḫanḫana:cho"
"KUB 54.67 Vs. 10'",528,"Ḫattuša","sjh.","(Bo 1583)","Kupra:oik"
"KUB 54.68 Vs.? 5'",670,"Ḫattuša","jh.","(Bo 1581)","Ankuwa:cho"
"KUB 54.68 Vs.? 6'",670,"Ḫattuša","jh.","(Bo 1581)","Kataḫḫa:oik"
"KUB 54.70 4'",590,"Ḫattuša","jh.","(Bo 1623)","Ušša:cho"
"KUB 54.70 6'",590,"Ḫattuša","jh.","(Bo 1623)","Kaštama:cho"
"KUB 54.70 7'",590,"Ḫattuša","jh.","(Bo 1623)","Arinna:cho, Šamuḫa:cho"
"KUB 54.76 8'",403,"Ḫattuša","sjh.","(Bo 1709)","Arinna:cho"
"KUB 54.80 3'",705,"Ḫattuša","jh.","(Bo 1705)","Akulliri:oro"
"KUB 54.80 4'",705,"Ḫattuša","jh.","(Bo 1705)","Šamura:hyd"
"KUB 54.81 Rs. 3'",670,"Ḫattuša","jh.","(Bo 1665)","Zippalanda:oik"
"KUB 54.82 Rs. 3",635,"Ḫattuša","jh.","(Bo 1703)","Daḫa:oro"
"KUB 54.82 Vs. 4'",635,"Ḫattuša","jh.","(Bo 1703)","Zippalanda:oik"
"KUB 54.84 9'",670,"Ḫattuša","jh.","(Bo 1773)","Niya:cho"
"KUB 54.88 I 1",627,"Ḫattuša","jh.","(Bo 1828)","Ḫatti:cho"
"KUB 54.9 III 3",692,"Ḫattuša","jh.","(Bo 2411b)","Šarmamma:hyd"
"KUB 54.98 12'",678,"Ḫattuša","jh.","(Bo 1883)","Ḫaḫaya:oro"
"KUB 54.98 8'",678,"Ḫattuša","jh.","(Bo 1883)","Ḫakmiš:cho"
"KUB 55.1 I 10'",581,"Ḫattuša","jh.","(Bo 2401)","Nerik:hyd, Nerik:cho"
"KUB 55.1 I 21'",581,"Ḫattuša","jh.","(Bo 2401)","Zippalanda:oik"
"KUB 55.1 II 3'",581,"Ḫattuša","jh.","(Bo 2401)","Šantiwara:oik"
"KUB 55.1 II 8'",581,"Ḫattuša","jh.","(Bo 2401)","Kummaḫa:cho"
"KUB 55.1 III 1",581,"Ḫattuša","jh.","(Bo 2401)","Anzipa:oik"
"KUB 55.1 IV 10",581,"Ḫattuša","jh.","(Bo 2401)","Tippuwa:oro, Tippuwa:oik"
"KUB 55.1 IV 13",581,"Ḫattuša","jh.","(Bo 2401)","Daḫa:oro, Šantiwara:oik"
"KUB 55.1 IV 16",581,"Ḫattuša","jh.","(Bo 2401)","Puškurunuwa:oro"
"KUB 55.12 IV! 7",682,"Ḫattuša","jh.","(Bo 126)","Karaḫna:cho"
"KUB 55.14 Rs. 11'",526,"Ḫattuša","sjh.","(Bo 842)","Tiura:oik"
"KUB 55.14 Rs. 2'",526,"Ḫattuša","sjh.","(Bo 842)","Zippalanda:oik"
"KUB 55.14 Rs. 6'",526,"Ḫattuša","sjh.","(Bo 842)","Ḫašuna:oik"
"KUB 55.15 II? 1'",528,"Ḫattuša","jh.","(Bo 2173)","Kammaḫu:oro"
"KUB 55.15 II? 4'",528,"Ḫattuša","jh.","(Bo 2173)","Kammaḫu:oro"
"KUB 55.15 III? 1",528,"Ḫattuša","jh.","(Bo 2173)","Daḫa:oro"
"KUB 55.15 III? 15",528,"Ḫattuša","jh.","(Bo 2173)","Iš[:oro, Iš[:cho"
"KUB 55.15 III? 3",528,"Ḫattuša","jh.","(Bo 2173)","Daḫa:oro"
"KUB 55.17 11'",712,"Ḫattuša","jh.","(Bo 2169)","Šamuḫa:cho"
"KUB 55.17 19'",712,"Ḫattuša","jh.","(Bo 2169)","Šamuḫa:cho"
"KUB 55.18 III 3'",670,"Ḫattuša","jh.","(Bo 2310)","Ḫatti:cho"
"KUB 55.21 I 5'",635,"Ḫattuša","jh.","(Bo 2349)","Zippalanda:oik"
"KUB 55.25 Rs. 6'",682,"Ḫattuša","jh.","(Bo 2225)","Arnuwanta:oro"
"KUB 55.29 7''",628,"Ḫattuša","mh.","(Bo 2220)","Pipita:oik"
"KUB 55.30 11'",500,"Ḫattuša","jh.","(Bo 2281)","Arinna:cho"
"KUB 55.35 Rs. 6'",832,"Ḫattuša","jh.","(Bo 2133)","Uttini (?):cho"
"KUB 55.38 II 3",683,"Ḫattuša","mh.","(Bo 2393)","]panza:hyd"
"KUB 55.39 IV 21'",591,"T.I","jh.","(316/v)","Zippalanda:oik"
"KUB 55.39 IV 22'",591,"T.I","jh.","(316/v)","Nerik:hyd, Nerik:cho"
"KUB 55.39 IV 7'",591,"T.I","jh.","(316/v)","Nerik:hyd, Nerik:cho"
"KUB 55.43 I 1",683,"Ḫattuša","mh.","(Bo 2393)","Ḫatenzuwa:cho"
"KUB 55.43 I 12",683,"Ḫattuša","mh.","(Bo 2393)","Ḫattuša:cho"
"KUB 55.43 I 20",683,"Ḫattuša","mh.","(Bo 2393)","Tuḫuppiya:cho"
"KUB 55.43 I 21",683,"Ḫattuša","mh.","(Bo 2393)","Ḫattuša:cho"
"KUB 55.43 I 23",683,"Ḫattuša","mh.","(Bo 2393)","Ḫatenzuwa:cho"
"KUB 55.43 I 24",683,"Ḫattuša","mh.","(Bo 2393)","Durmitta:cho"
"KUB 55.43 I 26",683,"Ḫattuša","mh.","(Bo 2393)","Zapatiškuwa:oik"
"KUB 55.43 I 6",683,"Ḫattuša","mh.","(Bo 2393)","Ḫatenzuwa:cho"
"KUB 55.43 II 13",683,"Ḫattuša","mh.","(Bo 2393)","Zapatiškuwa:oik"
"KUB 55.43 II 17",683,"Ḫattuša","mh.","(Bo 2393)","Tatašuna:oik"
"KUB 55.43 II 18",683,"Ḫattuša","mh.","(Bo 2393)","Tašḫapuna:oik"
"KUB 55.43 II 6",683,"Ḫattuša","mh.","(Bo 2393)","Ḫatti:cho"
"KUB 55.43 III 2'",683,"Ḫattuša","mh.","(Bo 2393)","Durmitta:cho"
"KUB 55.43 IV 11'",683,"Ḫattuša","mh.","(Bo 2393)","Ḫatti:cho"
"KUB 55.43 IV 17'",683,"Ḫattuša","mh.","(Bo 2393)","Tašḫapuna:oik, Tatašuna:oik"
"KUB 55.43 IV 20'",683,"Ḫattuša","mh.","(Bo 2393)","Ḫatenzuwa:cho"
"KUB 55.43 IV 26'",683,"Ḫattuša","mh.","(Bo 2393)","Zapatiškuwa:oik"
"KUB 55.43 IV 6'",683,"Ḫattuša","mh.","(Bo 2393)","Zapatiškuwa:oik"
