"Textstelle","CTH","Fundort","Dat","RefNr","Toponyms"
"KUB 5.17 II 10'",580,"Ḫattuša","jh.","(Bo 2449)","Aššur:cho, Ḫatti:cho"
"KUB 5.17 II 11'",580,"Ḫattuša","jh.","(Bo 2449)","Aššur:cho"
"KUB 5.17 II 29'",580,"Ḫattuša","jh.","(Bo 2449)","Aššur:cho"
"KUB 5.17 II 9'",580,"Ḫattuša","jh.","(Bo 2449)","Aššur:cho"
"KUB 5.17 III 16'",580,"Ḫattuša","jh.","(Bo 2449)","Ḫatti:cho"
"KUB 5.20 I 19",577,"T.I","jh.","(1134/v)","Tarḫuntašša:cho"
"KUB 5.20 I 22",577,"T.I","jh.","(1134/v)","Tarḫuntašša:cho"
"KUB 5.20 III 27'",577,"T.I","jh.","(1134/v)","Lawazantiya:oik"
"KUB 5.21 Vs.? 5'",573,"Ḫattuša","jh.","(Bo 2218)","Šamuḫa:cho"
"KUB 5.24 II 13",577,"T.I","sjh.","(579/v)","Arinna:cho"
"KUB 5.24 II 42",577,"T.I","sjh.","(579/v)","Arinna:cho"
"KUB 5.3 I 1",563,"Ḫattuša","jh.","(Bo 2042)","Ḫatti:cho"
"KUB 5.3 I 15",563,"Ḫattuša","jh.","(Bo 2042)","Ḫatti:cho"
"KUB 5.3 I 16",563,"Ḫattuša","jh.","(Bo 2042)","Ḫattuša:cho"
"KUB 5.3 I 2",563,"Ḫattuša","jh.","(Bo 2042)","Ḫattuša:cho"
"KUB 5.3 I 42",563,"Ḫattuša","jh.","(Bo 2042)","Ḫatti:cho"
