"Toponym","Freq","Type"
"Zalizuzun",1,"Oikonym"
"Zallara",14,"Choronym"
"Zallawašši",1,"Oikonym"
"Zallawauya",2,"Oikonym"
"Zallur (?)",1,"Oronym"
"Zalmana",17,"Oikonym"
"Zalpa",71,"Choronym"
"Zalpar",2,"Oikonym"
"Zalputa",1,"Oikonym"
"Zalwa[",1,"Oikonym"
"Zamaziu",2,"Hydronym"
"Zammakkili (?)",2,"Oronym"
"Zan",1,"Oikonym"
"Zantananta",1,"Oikonym"
"Zanzaliya",1,"Oikonym"
"Zanzara",1,"Oikonym"
"Zanzišna",1,"Oikonym"
"Zaparašta",1,"Oikonym"
"Zapatiškuwa",13,"Oikonym"
"Zapayu",1,"Hydronym"
"Zapišḫuna",7,"Oikonym"
"Zapuri",1,"Oikonym"
"Zara",3,"Oronym"
"Zara[",2,"Oikonym"
"Zara[",2,"Oronym"
"Zaraliya",2,"Hydronym"
"Zarara[",1,"Oikonym"
"Zarašaniya",1,"Oikonym"
"Zarata",2,"Oikonym"
"Zaratna",6,"Oronym"
"Zarimi",2,"Oikonym"
"Zarimma",1,"Hydronym"
"Zarkaptuna",1,"Oikonym"
"Zarmateni",1,"Oikonym"
"Zarninuwa",1,"Oikonym"
"Zarniya",4,"Oikonym"
"Zarnušašša",2,"Oikonym"
"Zartayawašša",1,"Oikonym"
"Zaruna",3,"Choronym"
"Zarwiša",11,"Oikonym"
"Zarza",1,"Oikonym"
"Zarzarunna",2,"Hydronym"
"Zašpiya",1,"Oikonym"
"Zatarziya",6,"Oronym"
"Zawa",1,"Oikonym"
"Zazlippa",3,"Oikonym"
"Zazziša",12,"Choronym"
"Zelmutta",1,"Oikonym"
"Zi[ ]ḫara",1,"Oikonym"
"Zi[",19,"Choronym"
"Ziḫḫana",7,"Oikonym"
"Ziḫarziya",2,"Oikonym"
"Ziḫila",1,"Oikonym"
"Ziḫluša",1,"Oikonym"
"Ziḫnuwa",10,"Oikonym"
"Ziḫšama",2,"Oikonym"
"Ziḫuppaya",1,"Oikonym"
"Zidaparḫa",6,"Choronym"
"Zidapara",1,"Choronym"
"Zidduwa",2,"Oikonym"
"Ziduḫana",1,"Hydronym"
"Zigazḫura",2,"Oikonym"
"Zika[",1,"Oikonym"
"Zikapalla",4,"Oikonym"
"Zikašta",5,"Oikonym"
"Zikiškira",3,"Oikonym"
"Zikkarpišna",2,"Oikonym"
"Zikkata",1,"Oikonym"
"Zikkištera",4,"Oikonym"
"Zikmar",11,"Oikonym"
"Zikmuḫ",3,"Oikonym"
"Zikuliya",2,"Oikonym"
"Zikurka",5,"Oikonym"
"Zilalimuna",1,"Oikonym"
"Zilappuna",1,"Oikonym"
"Zillimuna",1,"Oikonym"
"Zilpitta",1,"Oikonym"
"Zilputta",2,"Oikonym"
"Ziluna",2,"Oikonym"
"Zimala",1,"Oikonym"
"Zimimpa",1,"Oikonym"
"Zimumuwa",2,"Oikonym"
"Zimuriya",4,"Choronym"
"Zin[",5,"Oikonym"
"Zin[",5,"Oronym"
"Zinḫuri",1,"Oikonym"
"Zina[",1,"Choronym"
"Zinipa",1,"Oikonym"
"Zinirnuwa",6,"Oikonym"
"Zinišḫapa",11,"Oikonym"
"Zinku[",1,"Oikonym"
"Zinkuri[",1,"Oikonym"
"Zinziliya",1,"Oikonym"
"Zinziluwa",1,"Oikonym"
"Zinzira",1,"Choronym"
"Zipar[",1,"Oikonym"
"Zipariwa",2,"Oikonym"
"Zipatta",1,"Oikonym"
"Zipi",43,"Oikonym"
"Zipida[",1,"Oikonym"
"Zipišna",2,"Oikonym"
"Zippalanda",547,"Oikonym"
"Zippašla",7,"Choronym"
"Zippašla",7,"Oronym"
"Zippašna",11,"Oikonym"
"Zippiš[",1,"Oikonym"
"Zir[",1,"Oikonym"
"Zira",1,"Oikonym"
"Ziramara",3,"Hydronym"
"Ziripa",1,"Oikonym"
"Zirišna",1,"Oikonym"
"Zirnanuwa",1,"Oikonym"
"Zišḫana",1,"Oikonym"
"Zišku[",1,"Oikonym"
"Ziškuliya",3,"Oikonym"
"Zišpa",2,"Oikonym"
"Zišparna",3,"Oikonym"
"Zišpinuwa",1,"Oikonym"
"Zištama",1,"Oikonym"
"Zitḫara",45,"Oikonym"
"Zitḫariya",1,"Oronym"
"Zitḫarunuwa",3,"Oronym"
"Zitakapiša",3,"Oikonym"
"Zitalkišwa",5,"Oikonym"
"Zitarpu",1,"Hydronym"
"Zitta[",2,"Oikonym"
"Zituna",4,"Choronym"
"Zituppiya",1,"Oikonym"
"Ziulila",4,"Oikonym"
"Ziwada",1,"Oikonym"
"Ziwana",8,"Oronym"
"Ziya (?)",1,"Hydronym"
"Ziyaluna",4,"Hydronym"
"Ziyantiška",1,"Oikonym"
"Ziyara",1,"Oikonym"
"Ziyaziya",3,"Oikonym"
"Ziz[",1,"Oikonym"
"Ziziliya[",1,"Oikonym"
"Zizimaza",1,"Oikonym"
"Zizimpa",1,"Oikonym"
"Zizzalamuna",1,"Oikonym"
"Zizzapanta",1,"Oikonym"
"Zizzila",1,"Oronym"
"Zizzilippa",2,"Oikonym"
"Zu[",3,"Hydronym"
"Zu[",3,"Oikonym"
"Zu[",3,"Oronym"
"Zuḫḫapa",2,"Oikonym"
"Zuḫaruwa",1,"Oikonym"
"Zuḫma",1,"Choronym"
"Zukkuka",1,"Oronym"
"Zulapa",8,"Choronym"
"Zuliya",33,"Hydronym"
"Zullitta",6,"Oronym"
"Zuluza",1,"Oikonym"
"Zumanti",1,"Choronym"
"Zumara(?)",1,"Oikonym"
"Zumara",1,"Oikonym"
"Zumazuwanta (?)",1,"Hydronym"
"Zummagara",2,"Hydronym"
"Zuna[",1,"Oikonym"
"Zunauliya",2,"Oikonym"
"Zunnaḫara",9,"Choronym"
"Zunti (?)",1,"Choronym"
"Zunzurḫa",3,"Choronym"
"Zunzura",1,"Choronym"
"Zupaniun",3,"Oronym"
"Zuppara",6,"Oikonym"
"Zuwaḫhu",4,"Hydronym"
"Zuwinašša",2,"Oikonym"
