"GeogrMark","Translit","GeoM","Textstelle","CTH","Fundort","Dat","RefNr","Toponym"
"URU","n[e-",NA,"IBoT 4.323 6'",678,"<U+1E2A>attuša","jh.","(Bo 2287)","Nerik"
"KUR","ne-ri-ik-ka4",NA,"KBo 2.2 I 1",577,"Bk. E *","jh.","(Bo 2)","Nerik"
"KUR URU","ne-ri-ik-ka4",NA,"KBo 2.2 I 13",577,"Bk. E *","jh.","(Bo 2)","Nerik"
"KUR URU","ne-ri-ik-ka4",NA,"KBo 2.2 I 6",577,"Bk. E *","jh.","(Bo 2)","Nerik"
"URU","ne-ri-ik",NA,"KBo 2.4 I 25",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik",NA,"KBo 2.4 II 10",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik",NA,"KBo 2.4 II 34",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik",NA,"KBo 2.4 II 5",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KBo 2.4 III 10'",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik",NA,"KBo 2.4 III 12'",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KBo 2.4 III 8'",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik",NA,"KBo 2.4 III 9'",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik",NA,"KBo 2.4 IV 16'",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik",NA,"KBo 2.4 IV 19'",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik",NA,"KBo 2.4 IV 22'",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"br.","-<U+02F9>ri-ik<U+02FA>",NA,"KBo 2.4 I 30",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik",NA,"KBo 2.4 II 10",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik",NA,"KBo 2.4 II 36",672,"Bk. E *","jh.","(Bo 4)","Nerik"
"URU","ne-ri-ik",NA,"KBo 3.7 I 1",321,"<U+1E2A>attuša","jh.","(Bo 20)","Nerik"
"URU","ne-ri-ik",NA,"KBo 3.7 II 22’",321,"<U+1E2A>attuša","jh.","(Bo 20)","Nerik"
"URU","ne-ri-ik-ka4-az",NA,"KBo 3.7 II 23’",321,"<U+1E2A>attuša","jh.","(Bo 20)","Nerik"
"br.","n]e-ri-ik",NA,"KBo 3.7 IV 2'",321,"<U+1E2A>attuša","jh.","(Bo 20)","Nerik"
"URU","ne-ri-ik",NA,"KBo 3.7 IV 5'",321,"<U+1E2A>attuša","jh.","(Bo 20)","Nerik"
"URU","ne-ri-ik",NA,"KBo 9.91 Vs. 14",245,"Bk. D","jh.","(416/n)","Nerik"
"URU","ne-ri-ik",NA,"KBo 9.91 Vs. 18",245,"Bk. D","jh.","(416/n)","Nerik"
"URU","ne-ri-ik",NA,"KBo 9.91 Vs. 4",245,"Bk. D","jh.","(416/n)","Nerik"
"URU","ne-ri-ik",NA,"KBo 9.91 Vs. 8",245,"Bk. D","jh.","(416/n)","Nerik"
"URU","ne-[",NA,"KBo 9.138 10'",625,"Bk.","jh.","(159/o)","Nerik"
"URU","ne-ri-ik",NA,"KBo 9.138 5'",625,"Bk.","jh.","(159/o)","Nerik"
"br.","-r]i-ik-ki-x[",NA,"KBo 15.16 III 17'",448,"Bk. A","mh.","(425/b)","Nerik"
"URU","ne-ra-ak",NA,"KBo 11.28 II 34'",711,"Bk. K","jh.","(183/p)","Nerik"
"URU","ne-[",NA,"KBo 11.60 I 6'",678,"Bk. K","jh.","(283/p)","Nerik"
"URU","ne-r[i-",NA,"KBo 11.60 Rs. 11'",678,"Bk. K","jh.","(283/p)","Nerik"
"[UR]U","ne-ri-ik-ka4",NA,"KBo 12.38 I 20'",121,"HaH","sjh.","(548/t)","Nerik"
"br.","-r]i-ik-ka4",NA,"KBo 13.225 Rs. 5'",122,"HaH","sjh.","(434/t)","Nerik"
"URU","ne-ri-ik",NA,"KBo 12.65 V 4'",237,"HaH","jh.","(158/s)","Nerik"
"URU","ne-r[i-",NA,"KBo 12.65 V 6'",237,"HaH","jh.","(158/s)","Nerik"
"URU","ne-ri-ik",NA,"VSNF 12.14 Vs. 2",677,"HaH","jh.","(212/s)","Nerik"
"URU","n[e]-r[i-",NA,"KBo 12.83 I 1",321,"HaH","sjh.","(577/t)","Nerik"
"br.","-i]k-ka4",NA,"KBo 12.99 6'",832,"HaH","jh.","(300/s)","Nerik"
"URU","ne-r[i-",NA,"KBo 13.182 9'",678,"HaH","sjh.","(669/u)","Nerik"
"br.","n]e-r[i-",NA,"KBo 13.182 10'",678,"HaH","sjh.","(669/u)","Nerik"
"br.","ne-ri-ik",NA,"KBo 14.76 I 3'",626,"Bk. G","jh.","(99/q)","Nerik"
"br.","n]e-ri-ik-ki-ša",NA,"KBo 14.121 III? 3’",773,"Bk. H","mh.?","(70/q)","Nerik"
"URU","ne-ri-ik",NA,"KBo 15.33 IV 31'",330,"Bk. A","mh.","(475/b)","Nerik"
"[UR]U","ne-ri-ik-k[a",NA,"KBo 16.72 II? 4'",523,"Bk. A","ah.","(385/d)","Nerik"
"URU","ne-ri-i[k",NA,"KBo 16.81 I 1",671,"Bk. E","sjh.","(1764/c)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KBo 16.98 II 14",577,"Bk. E","jh.","(2211/c)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KBo 16.98 II 16",577,"Bk. E","jh.","(2211/c)","Nerik"
"br.","-r]i-ik-ka4",NA,"KUB 49.49 II 15'",577,"Bk. E","jh.","(2211/c)","Nerik"
"URU","ne-ri-ik",NA,"KBo 17.75 IV 20'",631,"Bk. A","mh.?","(2393/c)","Nerik"
"URU","ne-ri-ik-ki",NA,"KBo 17.83 III 15'",637,"Bk. A","jh.","(365/c)","Nerik"
"URU","ne-ri-ik",NA,"KBo 18.175 V 16",241,"Bk. D","jh.","(105/cA)","Nerik"
"URU","ne-ri-ik",NA,"KBo 5.3 I 43",42,"T.I","jh.","(455/u)","Nerik"
"[UR]U","ne-ri-ik",NA,"KBo 19.58 19'",268,"T.I","mh.","(984/z)","Nerik"
"URU","ne-r[i-",NA,"KBo 20.23 Rs. 2'",678,"Bk. D","ah.","(392/i)","Nerik"
"br.","n]e-ri-ik-ka[",NA,"KBo 20.23 Rs. 8'",678,"Bk. D","ah.","(392/i)","Nerik"
"URU","ne-ri-[",NA,"KBo 20.23 Vs. 2",678,"Bk. D","ah.","(392/i)","Nerik"
"URU","ne-ri-ik-ka-a[n?",NA,"KBo 20.23 Vs. 3",678,"Bk. D","ah.","(392/i)","Nerik"
"URU","ne-ri-ig-ga",NA,"KBo 20.28 Rs.? 14'",670,"Bk. D","jh.","(548/c)","Nerik"
"URU","ne-ri-ik",NA,"Bo 5543 Rs. 4",679,"Bk. A","jh.","(134/e)","Nerik"
"[U]RU","ne-ri-ik",NA,"KBo 20.87 Vs. 3 +Bo 5543 Rs. 3",679,"Bk. A","jh.","(134/e)","Nerik"
"URU","ne-ri-ik",NA,"KBo 20.87 Rs. 12'",679,"Bk. A","jh.","(134/e)","Nerik"
"URU","n[e-",NA,"KBo 20.87 Vs. 10",679,"Bk. A","jh.","(134/e)","Nerik"
"URU","ne-ri-ik",NA,"KBo 23.89 16'",679,"Bk. A","jh.","(134/e)","Nerik"
"br.","n]e-ri-ig-ga",NA,"KBo 20.102 12""",678,"Bk. H","jh.","(603/d)","Nerik"
"URU","ne-ri-ig-ga",NA,"KBo 20.102 20""",678,"Bk. H","jh.","(603/d)","Nerik"
"URU","ne-ri-ik",NA,"KBo 21.79 IV? 8'",678,"Bk. D","sjh.","(90/g)","Nerik"
"URU","ne-ri-i[k",NA,"KBo 22.9 IV 7'",40,"T.I","jh.","(Bo 69/395)","Nerik"
"br.","-i]k-ka4",NA,"KUB 26.50 Rs. 28'",225,"T.I","jh.","(536/u)","Nerik"
"URU","ne-ri-ik",NA,"KUB 26.43 Rs. 34",225,"T.I","jh.","(Bo 68/24)","Nerik"
"URU","ne-e-ri-ik-ki",NA,"KBo 6.2 II 58'",291,"T.I","ah.","(1195/u)","Nerik"
"URU","n[e-",NA,"KBo 22.73 Rs. 17'",90,"T.I","jh.","(Bo 69/385)","Nerik"
"URU","ne-ri-ik",NA,"KUB 21.11 Rs. 10'",90,"T.I","jh.","(Bo 69/385)","Nerik"
"br.","n]e-ri-ik",NA,"KUB 21.11 Rs. 2'",90,"T.I","jh.","(Bo 69/385)","Nerik"
"URU","ne-ri-ik",NA,"KUB 21.11 Rs. 5'",90,"T.I","jh.","(Bo 69/385)","Nerik"
"URU","ne-ri-ik",NA,"KUB 21.11 Vs. 1",90,"T.I","jh.","(Bo 69/385)","Nerik"
"br.","-i]k-ka4-na",NA,"KUB 21.11 Vs. 12",90,"T.I","jh.","(Bo 69/385)","Nerik"
"U[R]U","ne-ri-ik",NA,"KBo 22.183 II 1 + Bo 5672",669,"T.I","jh.","(921/z)","Nerik"
"URU","ne-ri-ik",NA,"KBo 22.199 I 10''",677,"T.I","jh.","(Bo 68/67)","Nerik"
"br.","n]e-ri-ig-ga",NA,"KBo 22.227 Rs. r. Kol. 1'",670,"T.I","sjh.","(Bo 69/28)","Nerik"
"KUR","ne-ri-ik-ma",NA,"KBo 22.264 I 15'",577,"T.I","sjh.","(Bo 68/97)","Nerik"
"URU","ne-ri-ik",NA,"KBo 23.76 II 3'",670,"Bk. A","mh.","(11/i)","Nerik"
"URU","ne-ri-ik",NA,"KBo 23.95 Rs. 12'",672,"Bk. H","jh.","(176/n)","Nerik"
"URU","ne-ri-ik",NA,"KBo 23.110 Rs. 10'",582,"Bk. E","sjh.","(298/f)","Nerik"
"URU","ne-ri-ik-ka4!",NA,"KBo 23.116 III? 4'",582,"Bk. A","jh.","(386/d)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KBo 23.116 III? 8'",582,"Bk. A","jh.","(386/d)","Nerik"
"[U]RU","ne-ri-ik",NA,"KBo 9.150 lk. Kol. 12'",582,"Bk. A","jh.","(386/d)","Nerik"
"[U]RU","ne-ri-ik",NA,"KBo 9.150 lk. Kol. 9'",582,"Bk. A","jh.","(386/d)","Nerik"
"URU","ne",NA,"KBo 23.117 Vs. 10",575,"Bk. D","jh.","(589/c)","Nerik"
"br.","ne-ri-ik[",NA,"KBo 26.169 4'",530,"HaH","jh.","(169/t)","Nerik"
"URU","n[e-",NA,"KBo 26.179 5'",530,"T.I","jh.","(807/v)","Nerik"
"br.","n]e-ri-ki",NA,"Bo 3758 II 1'",526,"T.I","jh.","(1625/u)","Nerik"
"URU","ne-ri-ik",NA,"KUB 42.100 I 8'",526,"T.I","jh.","(1625/u)","Nerik"
"br.","n]e-ri-ik-ki-wa-kán",NA,"KUB 42.100 II 11'",526,"T.I","jh.","(1625/u)","Nerik"
"URU","ne-ri-ik-ka4-aš-kán",NA,"KUB 42.100 II 7'",526,"T.I","jh.","(1625/u)","Nerik"
"URU","n[e-",NA,"KUB 42.100 III 12'",526,"T.I","jh.","(1625/u)","Nerik"
"URU","ne-ri-ik",NA,"KUB 42.100 III 33'",526,"T.I","jh.","(1625/u)","Nerik"
"URU","ne-ri-ik-ki-kán",NA,"KUB 42.100 IV 33'",526,"T.I","jh.","(1625/u)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KUB 42.100 IV 39'",526,"T.I","jh.","(1625/u)","Nerik"
"URU","ne-ri-ik-ki-y[a",NA,"KUB 42.100 IV 4'",526,"T.I","jh.","(1625/u)","Nerik"
"URU","ne-r[i-",NA,"KBo 27.4 3'",214,"Unterstadt","jh.","(Bo 75/368)","Nerik"
"br.","-r]i-ik",NA,"KBo 27.17 5'",832,"Unterstadt","jh.","(Bo 78/8)","Nerik"
"URU","ne-ri-ik-ki",NA,"KBo 30.37 IV 1'",674,"Bk. K","ah.?/mh.?","(267/p)","Nerik"
"URU","ne-r[i-",NA,"KBo 30.74 Rs. 1'",678,"Bk. C","jh.","(608/f)","Nerik"
"URU","ne-ri-ig-ga",NA,"KBo 30.74 Rs. 14''",678,"Bk. C","jh.","(608/f)","Nerik"
"URU","ne-r[i-",NA,"KBo 30.74 Rs. 19''",678,"Bk. C","jh.","(608/f)","Nerik"
"[U]RU","ne-ri-ik",NA,"KBo 30.82 VI 3'",674,"---","jh.","(2/t)","Nerik"
"URU","ne-ri-ik-x[",NA,"KUB 30.68 Rs. 3",278,"Bk. A","mh.","(363/b)","Nerik"
"URU","ne-ri-i[k",NA,"KUB 30.68 Rs. 5",278,"Bk. A","mh.","(363/b)","Nerik"
"URU","ne-ri-ig-ga",NA,"KUB 30.42 I 6",276,"Bk. A","jh.","(404/b)","Nerik"
"URU","ne-ri-ik",NA,"KBo 31.31 Vs. 5",282,"Bk. A","jh.","(277/a)","Nerik"
"br.","]-ri-ik",NA,"KBo 34.14 III 6'",670,"Bk. A","ah.","(317/b)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KUB 12.66 IV 7'",321,"T.I","jh.","(1269/z)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KUB 12.66 IV 9'",321,"T.I","jh.","(1269/z)","Nerik"
"URU","ne-ri-ik",NA,"KBo 34.213 I 20''",670,"Bk. A","jh.","(331/a)","Nerik"
"[U]RU","ne-ri-ik",NA,"KBo 37.94 Vs. 10'",744,"HaH","jh.","(107/u)","Nerik"
"URU","ne-ra-ak",NA,"KBo 37.144 Vs. 16'",745,"HaH","sjh.","(1104/u)","Nerik"
"[U]RU","ne-e-ri-[",NA,"KBo 37.158 3'",832,"Bk. A","ah.","(19/c)","Nerik"
"URU","ne-ri-ik",NA,"KBo 38.75 r. Kol. 14'",669,"Bk. A","jh.","(1019/c)","Nerik"
"URU","ne-ri-ik",NA,"KBo 38.75 r. Kol. 19'",669,"Bk. A","jh.","(1019/c)","Nerik"
"URU","n[e-",NA,"KBo 24.70 I 12'",706,"Bk. A","mh.","(560/b)","Nerik"
"URU","ne-ri-ik",NA,"Bo 9159 6'",626,"HaH","jh.","(34/t)","Nerik"
"URU","ne-ri-i[k",NA,"KUB 10.48 II 22",626,"HaH","jh.","(34/t)","Nerik"
"URU","ne-ri-ik",NA,"KUB 10.48 II 12",626,"HaH","jh.","(34/t)","Nerik"
"URU","[n]e-ri-ik",NA,"KUB 10.48 II 23",626,"HaH","jh.","(34/t)","Nerik"
"URU","ne-ri-ik",NA,"KBo 41.130 I 6'",568,"Bk. C","jh.","(239/f)","Nerik"
"[U]RU","ne-ri-ik-ka4-aš",NA,"KBo 41.170 Rs. 8",572,"Bk. N","jh.","(70/d)","Nerik"
"URU","ne-ri-i[k",NA,"KBo 41.181 Rs. 16'",573,"Bk. D","mh.?","(295/i)","Nerik"
"KUR","ni-ri-ik",NA,"KBo 41.226 Rs.? 8'",582,"Bk. E","sjh.","(296/f)","Nerik"
"br.","n]e-ri-ik-ka4",NA,"KUB 18.10 III 10'",577,"Bk. D","sjh.","(61/g)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KBo 42.27 Rs. 1'",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KBo 70.109 I 24'",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"br.","-r]i-ik-k[a4",NA,"KBo 70.109 I 29'",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KBo 70.109 I 34'",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"URU","ne-ri-ik-ka",NA,"KBo 70.109 II 11",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KBo 70.109 II 17",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"URU","ne-ri-ik[",NA,"KBo 70.109 II 34",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"URU","n]e-ri-ik-[",NA,"KBo 70.109 II 42",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"URU","ne-r[i-",NA,"KBo 70.109 II 47",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KBo 70.109 II 57",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"URU","ne-r[i-",NA,"KBo 70.109 III 7'",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KBo 70.109 IV 20'",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"URU","ne-ri-i[k-",NA,"KBo 70.109 IV 26'",527,"Bkaya","jh.","(Bo 97/7)","Nerik"
"br.","-r]i-ik",NA,"KBo 42.115 4'",832,"Bk. K","mh.?","(Bo 92/206)","Nerik"
"br.","n]e-ri-ik",NA,"KBo 43.61 IV 11'",577,"Bk. C","jh.","(615/f)","Nerik"
"URU","ne-ri-ik-ka4-ya",NA,"KBo 43.61 IV 5'",577,"Bk. C","jh.","(615/f)","Nerik"
"URU","ne-ri-ik-ka4-ya",NA,"KBo 43.61 IV 7'",577,"Bk. C","jh.","(615/f)","Nerik"
"URU","ne-[",NA,"KBo 44.5 5'",213,"Bk. M","sjh.","(355/n)","Nerik"
"br.","-r]i-ik-k[a4",NA,"KBo 44.78 5'",470,"Bk. K","jh.","(420/p)","Nerik"
"[U]RU","ne-ri-ik",NA,"KBo 44.207 Vs. 3'",577,"Bk. A","jh.","(331/o)","Nerik"
"br.","n]e-ri-ik-ka4",NA,"KBo 44.258 1'",613,"Bk. A","k.A.","(42/m)","Nerik"
"URU","n]e-ri-ik-k[a4",NA,"KBo 45.129 V 7'",738,"HaH","jh.","(253/s)","Nerik"
"br.","]-ri-ik-ka4",NA,"KBo 45.170 8'",678,"HaH","jh.","(280/s)","Nerik"
"URU","ne-ri-ik",NA,"KBo 46.126 8'",582,"Bk. F","jh.","(251/r)","Nerik"
"URU","ne-ri-ik",NA,"KBo 46.129 9'",582,"Bk. E","jh.","(157/r)","Nerik"
"URU","ne-ri-ik",NA,"KBo 46.163 Vs.? lk. Kol. 9'",670,"Bk. A","jh.","(319/o)","Nerik"
"URU","ne-[",NA,"KBo 48.35 Vs. 2'",626,"Unterstadt","jh.","(132/s)","Nerik"
"[U]RU","ne-ri-ik",NA,"KBo 48.35 Vs. 5'",626,"Unterstadt","jh.","(132/s)","Nerik"
"URU","n[e-",NA,"KBo 48.254 6'",529,"<U+1E2A>attuša","sjh.","(702/t)","Nerik"
"br.","n]e-ri-ik",NA,"CHDS 2.1 1' + KBo 48.254 6'",529,"<U+1E2A>attuša","sjh.","(702/t)","Nerik"
"URU","ne-ri-ik",NA,"CHDS 2.1 4'",529,"<U+1E2A>attuša","sjh.","(702/t)","Nerik"
"br.","-r]i-ik-ka4",NA,"KBo 49.38 6'",215,"HaH","jh.","(296/s)","Nerik"
"br.","-i]k",NA,"KBo 49.89 V 5'",611,"HaH","jh.","(81/t)","Nerik"
"br.","n]e-ri-ik-ka4",NA,"KBo 49.90 lk. Kol. 2'",670,"HaH","jh.","(82/t)","Nerik"
"br.","n]e-<U+2E22>ri-ik-ka4<U+2E23>",NA,"KBo 49.239 1'",670,"HaH","jh.","(471/t)","Nerik"
"br.","n]e-ri-i[k",NA,"KBo 49.269 1'",670,"HaH","jh.","(552/t)","Nerik"
"[K]UR URU","ne-ri-ik-ka4",NA,"KUB 21.10 3'",40,"T.I","sjh.","(1812/u)","Nerik"
"br.","-i]g-ga",NA,"KBo 22.39 III 10'",62,"T.I","jh.","(456/z)","Nerik"
"URU","ne-ri-ik-ka-ka4",NA,"KBo 50.38 IV 13'",68,"T.I","jh.","(1877/u)","Nerik"
"URU","ne-ri-ik-ka4",NA,"KUB 40.53 Rs. 4'",68,"T.I","jh.","(1877/u)","Nerik"
