"GeogrMark","Translit","GeoM","Textstelle","CTH","Fundort","Dat","RefNr","Toponym"
"<U+1E2A>UR.SAG","ERIN",NA,"KBo 3.13 Vs. 13'",311,"<U+1E2A>attuša","jh.","(VAT 13009)","ERIN"
"<U+1E2A>UR.SAG?","GE6",NA,"KBo 70.109 II 19",527,"Bkaya","jh.","(Bo 97/7)","GE6"
"<U+1E2A>UR.SAG?","GE6",NA,"KBo 70.109 II 22",527,"Bkaya","jh.","(Bo 97/7)","GE6"
"<U+1E2A>UR.SAG","GUŠKIN(-)x[",NA,"KUB 58.109 Vs. 12'",780,"T.I *","jh.","(767/t)","GUŠKIN"
"<U+1E2A>UR.SAG","MÁŠ.ANŠE-an-ta-aš",NA,"KUB 38.23 Vs. 11'",526,"<U+1E2A>attuša","sjh.","(Bo 563)","MÁŠ.ANŠE-anta"
"pa-ap-pé-e[n-na]","]x-ta-ra",NA,"KBo 15.52 I I 15 + KBo 16.95 lk. Kol. 2'",628,"Bk. A","jh.","(406/f)","]tara"
"<U+1E2A>UR.SAG","x-wa-ra",NA,"Bo 6171 10'",670,"<U+1E2A>attuša","sjh.","(Bo 6171)","]wara"
"<U+1E2A>UR.SAG","a-[",NA,"ABoT 2.103 Vs. 2'",500,"<U+1E2A>attuša","jh.","(AnAr 10313)","A["
"URU","a-x[",NA,"KBo 12.14 Vs. 5",14,"HaH","jh.","(309/t)","A["
"URU","a-[",NA,"KUB 14.1 Rs. 91",147,"T.I","mh.","(603/u)","A["
"URU","a-[",NA,"KUB 30.68 Vs. 1'",278,"Bk. A","mh.","(363/b)","A["
"URU","a-[",NA,"KBo 40.249 Vs. 9'",832,"Bk. A","k.A.","(361/c)","A["
"URU","a-x[",NA,"KBo 50.33 Rs. 2",61,"Bk.","jh.","(1311/v)","A["
"<U+1E2A>UR.SAG","a-x[",NA,"KBo 53.74 8'",348,"T.I","jh.","(1721/u)","A["
"<U+1E2A>UR.SAG","a-d[a?",NA,"KBo 53.216 I 30'",699,"T.I","jh.","(1744/u)","A["
"URU","<U+2E22>a<U+2E23>-[",NA,"KBo 54.278 Vs. 1'",222,"T.I","ah.?","(126/v)","A["
"URU","a-[",NA,"KBo 56.267 2'",832,"HaH","jh.","(35/u)","A["
"URU","a?-[",NA,"KBo 60.135 4'",670,"T.I","k.A.","(1223/z)","A["
"KUR URU","a-x[",NA,"KUB 26.54 14'",237,"<U+1E2A>attuša","sjh.","(Bo 505)","A["
"URU","a-[",NA,"KUB 28.7 Vs. 4b",736,"<U+1E2A>attuša","sjh.","(Bo 429)","A["
"URU","a-[",NA,"KUB 34.29 III 12'",40,"Bk. A","jh.","(63/a)","A["
"<U+1E2A>UR.SAG","a-x[",NA,"KUB 40.2 Rs. 6",641,"<U+1E2A>attuša","jh.","(Bo 4889)","A["
"URU","a-[",NA,"KUB 42.66 Rs. 6'",243,"<U+1E2A>attuša","jh.","(Bo 939)","A["
"URU","a-[",NA,"KUB 59.10 V? 2",625,"<U+1E2A>attuša","jh.","(Bo 3132)","A["
"—","a-gul-li-ri","<U+1E2A>[UR.SAG-i (br.)","KBo 15.41 3'",705,"Bk. A","jh.","(1335/c)","Akulliri"
"—","a-gul-li-ri","waa-[pa-ni","KBo 15.42 Vs.? 15'",705,"Bk. A","mh.","(421/c)","Akulliri"
"---","a-[","br.","KBo 20.109 Rs. 16",704,"T.I","jh.","(2031/g)","Akulliri"
"—","a-gul-li-ri-iš","","KBo 27.117 Rs. 8'",790,"Bk. A","mh.?","(524/c)","Akulliri"
"br.","]-ri","","KBo 35.131 Rs.? 3'",704,"Unterstadt","jh.","(94/p)","Akulliri"
"—","a-gul-li-ri","wa-[a-pa-an-ni","KBo 20.113 IV 11",706,"Bk. A","jh.","(2523/c)","Akulliri"
"—","a-gul-li-ri","br.","KBo 19.130 IV 5",706,"T.I","jh.","(2105/g)","Akulliri"
"—","a-ku-ul-li-ri[","br.","KBo 15.40 II 3",704,"Bk. A","mh.","(1555/c)","Akulliri"
"<U+1E2A>UR.SAG","a-gul-li-ri","","KBo 64.339 I 51'",615,"Bk. E","sjh.","(162/r)","Akulliri"
"<U+1E2A>UR.SAG","a-gul-li-ri","","KUB 17.27 III 19",780,"<U+1E2A>attuša","jh.","(Bo 1001)","Akulliri"
"<U+1E2A>UR.SAG","a-gul-li-ri","","KUB 25.44 II 15'",704,"---","jh.","(VAT 13015)","Akulliri"
"br.","-l]i-ri","","KUB 27.8 Rs. 15",704,"<U+1E2A>attuša","jh.","(Bo 2760)","Akulliri"
"<U+1E2A>UR.SAG","a-gul-li-ri","","KUB 27.14 III 8",705,"<U+1E2A>attuša","jh.","(Bo 5508)","Akulliri"
"—","a-gul-li-ri","br.","KUB 32.95 Vs. 5'",706,"Bk. A","mh.","(690/b)","Akulliri"
"br.","a-gul-li-ri","<U+1E2A>UR.S[AG-ni","KUB 54.80 3'",705,"<U+1E2A>attuša","jh.","(Bo 1705)","Akulliri"
"<U+1E2A>UR.SAG","a-ku-ud-da-ri-ya-aš-š[a",NA,"KUB 50.112 IV 5'",570,"<U+1E2A>attuša","jh.","(Bo 5084)","Akuttariya"
"<U+1E2A>UR.SAG","a-ku-ut-ta-ri-ya[",NA,"KUB 51.88 r. Kol. 5'",530,"<U+1E2A>attuša","jh.","(Bo 1111)","Akuttariya"
"[<U+1E2A>]UR.SAG","al-[ ]-ši-iš",NA,"KBo 18.147 5'",581,"Bk. E","jh.","(2238/c)","Al["
"URU","al-x[",NA,"KBo 50.242 2'",142,"T.I","jh.","(1417/u)","Al["
"<U+1E2A>UR.SAG","a-al-[",NA,"KBo 41.126 2'",573,"Bk. E","jh.","(2171/c)","Al["
"URU","al-x[",NA,"KUB 16.40 Vs. ! 16",576,"<U+1E2A>attuša","sjh.","(Bo 2630)","Al["
"<U+1E2A>UR.SAG","al-[",NA,"KUB 26.80 7'",83,"<U+1E2A>attuša","jh.","(Bo 4492)","Al["
"URU","al-x[",NA,"KUB 50.90 Vs. 10'",576,"<U+1E2A>attuša","jh.","(Bo 5449)","Al["
"[<U+1E2A>UR.S]AG?","al?-li-ni",NA,"KBo 14.3 IV 1",40,"Bk. A","sjh.","(1651/c)","Alina"
"URU","a[m-",NA,"KBo 50.248 4'",214,"T.I","jh.","(349/u)","Am[ (?)"
"<U+1E2A>UR.SAG","a[m?-",NA,"KBo 57.160 r. Kol. 5'",670,"T.I","jh.","(329/v)","Am[ (?)"
"<U+1E2A>UR.SAG","am-ma-li-ya",NA,"KBo 49.161 Vs. 1",832,"HaH","jh.","(254/t)","Ammaliya"
"---","am-ma-a-na",NA,"ABoT 2.105 5'",720,"<U+1E2A>attuša","sjh.","(AnAr 10865)","Ammana"
"br.","-a]m-ma-na",NA,"KUB 40.103 I 2'",628,"<U+1E2A>attuša","jh.","(Bo 6107)","Ammana"
"<U+1E2A>UR.SAG","am-m[a?-",NA,"DBH 46/2.140 Vs.? 2'",500,"<U+1E2A>attuša","jh.","(Bo 4914)","Ammana"
"br.","-m]a-a-na",NA,"KUB 40.97 Vs. III 25'",628,"<U+1E2A>attuša","jh.","(Bo 1546)","Ammana"
"[<U+1E2A>UR.SA]G","a-ma-na-aš",NA,"KBo 15.44 Vs. 3'",215,"Bk. A","jh.","(124/e)","Ammana"
"br.","am-ma-a-na",NA,"KBo 15.58 V 24'",628,"Bk.","jh.","(289/a)","Ammana"
"br.","]-a-na",NA,"KBo 15.54 Vs. lk. Kol. 8'",628,"Bk. A","jh.","(313/b)","Ammana"
"[pa]-ap-pí-en-na","am-ma-a-na",NA,"KBo 15.53 Vs.? 9'",628,"Bk. A","jh.","(384/d)","Ammana"
"—","a-am-ma-na",NA,"KBo 17.98 V 16'",628,"Bk. A","jh.","(1967/c)","Ammana"
"<U+1E2A>UR.SAG","a-ma-a-na",NA,"KBo 19.142 III 20",721,"T.I","jh.","(422/z)","Ammana"
"<U+1E2A>UR.SAG","a-ma-na",NA,"KBo 19.142 IV 1",721,"T.I","jh.","(422/z)","Ammana"
"[<U+1E2A>UR.SA]G","a-ma-na-<U+1E2B>i",NA,"KBo 22.162 Rs. 4'",720,"T.I","sjh.","(952/z)","Ammana"
"<U+1E2A>UR.SAG","a-ma-a-na",NA,"KBo 7.74 II 3'",277,"Bk. A","jh.","(697/c)","Ammana"
"—","am-ma-a-na",NA,"KBo 34.96 Rs. 2",720,"Bk. A","jh.","(82/a)","Ammana"
"[<U+1E2A>UR.SA]G","am-ma-a-na",NA,"KBo 34.96 Rs. 4",720,"Bk. A","jh.","(82/a)","Ammana"
"br.","am-ma-a-na",NA,"KBo 34.97 4'",720,"Bk. D","mh.","(402/w)","Ammana"
"<U+1E2A>UR.SA]G","am-ma-a-n[a",NA,"KBo 34.97 6'",720,"Bk. D","mh.","(402/w)","Ammana"
"br.","-ma]-a-na",NA,"KBo 39.167 III? 4'",706,"Bk. A","mh.?","(2552/c)","Ammana"
"[<U+1E2A>UR.SA]G","a-am-ma-[",NA,"KBo 44.11 4'",215,"Bk. A","jh.","(219/q)","Ammana"
"<U+1E2A>UR.SAG","am-ma-na-aš",NA,"KBo 59.42 4'",470,"T.I","jh.","(929/z)","Ammana"
"<U+1E2A>UR.SAG","am-ma-na",NA,"KUB 23.102 I 5",171,"<U+1E2A>attuša","jh.","(VAT 7499)","Ammana"
"<U+1E2A>UR.SAG","am-ma-na",NA,"KUB 23.102 I 8",171,"<U+1E2A>attuša","jh.","(VAT 7499)","Ammana"
"br.","am-ma-a-na",NA,"KUB 40.100 V 5'",628,"<U+1E2A>attuša","jh.","(Bo 7851)","Ammana"
"[<U+1E2A>UR.S]AG","a-ma-na",NA,"KUB 40.101 Rs. 8",682,"<U+1E2A>attuša","sjh.","(Bo 431)","Ammana"
"<U+1E2A>UR.SAG","am-ma-na",NA,"KUB 45.58 III 8'",628,"<U+1E2A>attuša","sjh.","(Bo 4859)","Ammana"
"—","a-am-ma-na",NA,"HT 92 6'",628,"<U+1E2A>attuša","sjh.","(Bo 4859)","Ammana"
"br.","<U+2E22>a<U+2E23>-am-ma-an-na",NA,"KUB 60.25 Rs.? 8'",389,"<U+1E2A>attuša","jh.","(Bo 1245)","Ammana"
"<U+1E2A>UR.SAG","a-ma-na-ak-ki-pa-lu",NA,"KBo 9.106 II 3",404,"Bk. G","jh.","(131/m)","Amanakipalu"
"—","a-ma-ri-ik-kal",NA,"KBo 33.8 III 4'",778,"Bk. D","mh.?","(190/w)","Ammarik"
"—","am-ma-ri-ik-ki-i[n",NA,"KBo 33.8 III 9'",778,"Bk. D","mh.?","(190/w)","Ammarik"
"—","a-am-ma-ri-ik-ki-in",NA,"KBo 33.9 7'",778,"Bk. A","jh.","(1574/c)","Ammarik"
"br.","]-ar-ri-ki-ni-wee-n[a",NA,"KBo 64.171 Vs.? 3'",720,"T.I","jh.","(647/z)","Ammarik"
"<U+1E2A>UR.SAG","am-ma-ri-[",NA,"KUB 19.27 Vs. 8'",50,"<U+1E2A>attuša","jh.","(VAT 13008)","Ammarik"
"—","a-ma-ri-ik-ku-waa-ni-in",NA,"FHG 21 I 9",777,"Bk. A","mh.","(795/b)","Ammarik"
"[<U+1E2A>UR.SA]G","a-am-ma-ri-i[k",NA,"KUB 45.73 6'",791,"<U+1E2A>attuša","jh.","(Bo 2186)","Ammarik"
"br.","]-za-ki-na[",NA,"DAAM 1.20 10'",628,"Kayalipinar","mh.?","(Kp 07/97)","Ammarzakina"
"[pa-ap]-pí-en-na","a-am-me-za-ak-ki-na",NA,"KUB 40.97 IV 3",628,"<U+1E2A>attuša","jh.","(Bo 1546)","Ammarzakina"
"<U+1E2A>UR.SAG","a-mar-za-ki-na",NA,"Merzifon 2 Rs. 12'",628,"Bk. C","jh.","(683/f)","Ammarzakina"
"<U+1E2A>UR.SAG","am-mu-ni",NA,"KBo 55.8 r. Kol. 10'",324,"T.I","mh.","(445/z)","Ammuna"
"<U+1E2A>UR.SAG","a-mu-na",NA,"KUB 19.18 I 12'",40,"<U+1E2A>attuša","jh.","(Bo 2338)","Ammuna"
"<U+1E2A>UR.SAG","am-mu-na",NA,"KUB 19.18 I 14'",40,"<U+1E2A>attuša","jh.","(Bo 2338)","Ammuna"
"<U+1E2A>UR.SAG","am-mu-na",NA,"KUB 33.8 II 14'",324,"<U+1E2A>attuša","jh.","(VAT 6701)","Ammuna"
"<U+1E2A>UR.SAG","a-mu-n[a-",NA,"KUB 58.18 V? 19'",722,"<U+1E2A>attuša","jh.","(Bo 2787)","Ammuna"
"[U]RU","am-mu-na-a-il",NA,"VBoT 68 II 19'",231,"<U+1E2A>attuša","jh.","(AO 9608)","Ammuna"
"<U+1E2A>UR.SAG","ap-x[",NA,"KBo 57.247 4'",832,"T.I","jh.","(536/v)","Ap[ (?)"
"<U+1E2A>UR.SAG","ap-ri-ga-ak-[",NA,"Merzifon 2 Rs. 8'",628,"Bk. C","jh.","(683/f)","Aprigak[ (?)"
"<U+1E2A>UR.SAG","a[r-",NA,"CHDS 2.103 2'",655,"<U+1E2A>attuša","jh.","(Bo 3243)","Ar["
"KUR","ar-[",NA,"Bo 8861 Vs. 4",211,"<U+1E2A>attuša","k.A.","(Bo 8861)","Ar["
"URU","a[r-",NA,"KBo 8.30 Vs. 3",297,"Bk. D","jh.","(12/l)","Ar["
"URU","ar-[",NA,"HT 6 Rs. 13",409,"Bk. H","jh.","(195/n)","Ar["
"URU","a[r-",NA,"KBo 49.78 Vs. 4'",832,"HaH","sjh.","(50/t)","Ar["
"URU","a[r-",NA,"KBo 53.299 6'",832,"T.I","jh.","(1762/u)","Ar["
"KUR URU","a[r-",NA,"KUB 26.78 Vs. 8'",214,"<U+1E2A>attuša","jh.","(Bo 3221)","Ar["
"KUR URU","a[r-",NA,"KUB 48.123 II 13'",590,"<U+1E2A>attuša","jh.","(Bo 2753)","Ar["
"URU","a[r-",NA,"KUB 49.83 Vs. 2'",582,"<U+1E2A>attuša","jh.","(Bo 1646)","Ar["
"<U+1E2A>UR.SA[G]","A[r?-",NA,"CHDS 2.103 3’",655,"<U+1E2A>attuša","jh.","(Bo 3243)","Ar[ (?)"
"<U+1E2A>UR.SAG","ar-n[u?-",NA,"KBo 34.149 III 4",591,"Bk. A","sjh.","(40/a)","Arnuwanda"
"<U+1E2A>UR.SAG","ar-ra-na",NA,"KBo 42.2 I 18",785,"Bkaya","jh.","(Bo 95/116)","Arrana"
"<U+1E2A>UR.SAG","a-ra-an-<U+1E2B>a-pí-la",NA,"KBo 10.1 Vs. 19",4,"Bk. K","jh.","(174/p)","Aran<U+1E2B>apilani"
"<U+1E2A>UR.SAG","a-ra-an-<U+1E2B>a-pí-la-an-ni",NA,"KBo 10.2 I 39",4,"Bk. K","jh.","(202/p)","Aran<U+1E2B>apilani"
"[<U+1E2A>UR.SA]G","<U+2E22>a<U+2E23>-ra-<U+1E2B>a-pí-la[",NA,"KUB 23.41 2'",4,"<U+1E2A>attuša","jh.","(Bo 331)","Aran<U+1E2B>apilani"
"<U+1E2A>UR.SAG","a-r[a-",NA,"IBoT 4.273 IV 12'",722,"<U+1E2A>attuša","jh.","(Bo 1543)","Arara"
"<U+1E2A>UR.SAG","a-ra-ra-an",NA,"KUB 58.62 III 13'",722,"T.I","jh.","(1982/u)","Arara"
"<U+1E2A>UR.SAG","a-r[a-",NA,"KUB 58.18 V? 13'",722,"<U+1E2A>attuša","jh.","(Bo 2787)","Arara"
"[<U+1E2A>UR].SAG","a-ri-ya-at-ti-in",NA,"KUB 26.50 Vs. 8' + KBo 22.58 Vs. 8'",225,"T.I","jh.","(536/u)","Ariyatti"
"<U+1E2A>UR.SAG","a-ri-ya-at-ti-i[n]",NA,"KUB 26.43 Vs. 18",225,"T.I","jh.","(Bo 68/24)","Ariyatti"
"<U+1E2A>UR.SAG","a-ri-in-na-an-da",NA,"KUB 14.15 III 39'",61,"T.I","jh.","(897/v)","Arinnanda"
"br.","-ri]-na-an-da",NA,"KUB 14.15 III 49'",61,"T.I","jh.","(897/v)","Arinnanda"
"[<U+1E2A>UR].SAG","-in]-na-an-da",NA,"KUB 14.15 III 53'",61,"T.I","jh.","(897/v)","Arinnanda"
"br.","-i]n-na-an-da-aš-ma",NA,"KBo 22.90 r. Kol. 4'",61,"T.I","jh.","(Bo 69/503)","Arinnanda"
"<U+1E2A>UR.SAG","a-[ -n]a-an-da",NA,"KUB 14.16 III 13'",61,"T.I *","jh.","(Bo 2458)","Arinnanda"
"<U+1E2A>UR.SAG","a-ri-in-na-an-da",NA,"KUB 14.16 III 19'",61,"T.I *","jh.","(Bo 2458)","Arinnanda"
"<U+1E2A>UR.SAG","a-ri-i[n-",NA,"KUB 14.16 III 23'",61,"T.I *","jh.","(Bo 2458)","Arinnanda"
"<U+1E2A>UR.S[AG]","-i]n-na-an-da-aš",NA,"KUB 14.16 III 7'",61,"T.I *","jh.","(Bo 2458)","Arinnanda"
"<U+1E2A>UR.SAG","a-ri-in-na-an-da",NA,"KUB 14.16 III 7'",61,"T.I *","jh.","(Bo 2458)","Arinnanda"
"<U+1E2A>UR.SAG","a-ri-in-na-an-da",NA,"KBo 3.4 II 33",61,"<U+1E2A>attuša","jh.","(Bo 8245)","Arinnanda"
"<U+1E2A>UR.SAG","a-ri-in-na-an-da-an",NA,"KBo 3.4 II 34",61,"<U+1E2A>attuša","jh.","(Bo 8245)","Arinnanda"
"<U+1E2A>UR.SAG","a-ri-in-na-an-da",NA,"KBo 3.4 II 37",61,"<U+1E2A>attuša","jh.","(Bo 8245)","Arinnanda"
"<U+1E2A>UR.SAG","a-ri-in-na-an-da-an",NA,"KBo 3.4 II 38",61,"<U+1E2A>attuša","jh.","(Bo 8245)","Arinnanda"
"<U+1E2A>UR.SAG","a-ri-in-na-an-da-an",NA,"KBo 3.4 II 40",61,"<U+1E2A>attuša","jh.","(Bo 8245)","Arinnanda"
"<U+1E2A>UR.SAG","a-ri-in-na-an-da-an",NA,"KBo 3.4 II 46",61,"<U+1E2A>attuša","jh.","(Bo 8245)","Arinnanda"
"[<U+1E2A>UR].SAG","a-ri-in-[",NA,"KBo 16.1 III 40'",61,"Bk. A","jh.","(2699/c)","Arinnanda"
"[<U+1E2A>UR].SAG","a-ri-in-[",NA,"KBo 16.1 III 41'",61,"Bk. A","jh.","(2699/c)","Arinnanda"
"<U+1E2A>UR.SAG","ar-ga-pa-an",NA,"KBo 25.86 Vs. 6'",635,"Bk. A","ah.","(866/c)","Argapa"
"<U+1E2A>UR.SAG","ar-la-an-ta-aš",NA,"Bo 86/299 I 39",106,"Oberstadt","sjh.","(Bo 86/299)","Arlanta"
"<U+1E2A>UR.SAG","a-ar-la-an-ta",NA,"Bo 86/299 I 41",106,"Oberstadt","sjh.","(Bo 86/299)","Arlanta"
"<U+1E2A>UR.SAG","ar-la-an-ta-aš",NA,"KBo 4.10 Vs. 24'",106,"T.I","jh.","(1548/u)","Arlanta"
"<U+1E2A>UR.SAG","ar-la-an-da",NA,"KBo 4.10 Vs. 25'",106,"T.I","jh.","(1548/u)","Arlanta"
"<U+1E2A>UR.SAG","ar-n[u-",NA,"Bo 5282 r. Kol. 3'",591,"<U+1E2A>attuša","jh.","(Bo 5282)","Arnuwanta"
"<U+1E2A>UR.SAG","ar-nu-wa-an-ta",NA,"KBo 3.26 Vs. 5' + IBoT 2.84 II 3'",591,"<U+1E2A>attuša","sjh.","(Bo 305)","Arnuwanta"
"<U+1E2A>UR.SAG","ar-nu-an-ta-aš",NA,"KBo 2.7 Rs. 24",526,"Bk. E *","sjh.","(Bo 10)","Arnuwanta"
"br.","a]r-nu-an-ta",NA,"KBo 2.7 Rs. 29",526,"Bk. E *","sjh.","(Bo 10)","Arnuwanta"
"<U+1E2A>UR.SAG","ar-nu-wa-an-da-aš",NA,"KBo 2.13 Vs. 21",528,"Bk. E *","jh.","(Bo 28)","Arnuwanta"
"<U+1E2A>UR.SAG","ar-nu-wa-an-da",NA,"KBo 2.13 Vs. 25",528,"Bk. E *","jh.","(Bo 28)","Arnuwanta"
"<U+1E2A>UR.SAG","ar-nu-an-[",NA,"KBo 2.13 Vs. 26",528,"Bk. E *","jh.","(Bo 28)","Arnuwanta"
"<U+1E2A>UR.SAG","a[r-",NA,"KBo 22.201 IV 7",591,"T.I","jh.","(1022/z)","Arnuwanta"
"<U+1E2A>UR.SAG","ar-nu-an-da",NA,"KBo 20.67 IV 14",591,"Bk. A","mh.","(1920/c)","Arnuwanta"
"<U+1E2A>UR.SAG","ar-nu-wa-an-da",NA,"KBo 26.182 Rs. 9'",528,"HaH","sjh.","(73/s)","Arnuwanta"
"<U+1E2A>UR.SAG","ar-nu-w[a",NA,"KBo 56.62 r. Kol. 7'",591,"HaH","jh.","(22/u)","Arnuwanta"
"<U+1E2A>UR.SAG","ar-nu-wa-an-da",NA,"KUB 10.89 I 3'",591,"<U+1E2A>attuša","sjh.","(Bo 4857)","Arnuwanta"
"[<U+1E2A>UR].SAG","ar-nu-wa-an-da",NA,"KUB 40.101 Rs. 7",682,"<U+1E2A>attuša","sjh.","(Bo 431)","Arnuwanta"
"br.","-w]a-an-da-aš",NA,"KUB 55.25 Rs. 6'",682,"<U+1E2A>attuša","jh.","(Bo 2225)","Arnuwanta"
"<U+1E2A>UR.SAG","ar-ša-aš",NA,"KBo 25.162 r. Kol. 2",832,"Bk. A","jh.","(893/u)","Arša"
"<U+1E2A>UR.SAG","ar-wa-li-y[a",NA,"KUB 38.33 Vs. 7'",526,"<U+1E2A>attuša","jh.","(Bo 7894)","Arwaliya"
"<U+1E2A>UR.SAG","aš-<U+1E2B>ar-pa-a-an",NA,"KBo 18.57 Vs. 5'",209,"Bk. A","mh.","(1791/c)","Aš<U+1E2B>arpaya"
"<U+1E2A>UR.SAG","aš-<U+1E2B>ar-pa-ya-an",NA,"KBo 3.4 III 39'",61,"<U+1E2A>attuša","jh.","(Bo 8245)","Aš<U+1E2B>arpaya"
"<U+1E2A>UR.SAG","aš-har-pa-ya",NA,"KBo 3.4 III 39'",61,"<U+1E2A>attuša","jh.","(Bo 8245)","Aš<U+1E2B>arpaya"
"<U+1E2A>UR.SAG","aš-har-pa-ya",NA,"KBo 3.4 III 41'",61,"<U+1E2A>attuša","jh.","(Bo 8245)","Aš<U+1E2B>arpaya"
"<U+1E2A>UR.SAG","aš-<U+1E2B>ar-pa-ya-an",NA,"KBo 3.4 III 43'",61,"<U+1E2A>attuša","jh.","(Bo 8245)","Aš<U+1E2B>arpaya"
"<U+1E2A>UR.SAG","aš-<U+1E2B>ar-pa-ya-an-ma",NA,"KBo 3.4 III 44'",61,"<U+1E2A>attuša","jh.","(Bo 8245)","Aš<U+1E2B>arpaya"
"<U+1E2A>UR.SAG","aš-<U+1E2B>[ar-",NA,"KUB 31.10 I 3'",61,"<U+1E2A>attuša","sjh.","(Bo 4155)","Aš<U+1E2B>arpaya"
"<U+1E2A>UR.SAG","aš-<U+1E2B>ar-pa-ya-an",NA,"KUB 49.103 Rs. 9'",570,"<U+1E2A>attuša","sjh.","(Bo 5229)","Aš<U+1E2B>arpaya"
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
"<U+1E2A>UR.SAG","aš-ka-l[i-",NA,"DAAM 1.41 I 23",0,"","k.A.","()","Aškali["
