"GeogrMark","Translit","GeoM","Textstelle","CTH","Fundort","Dat","RefNr","Toponym"
"[<U+1E2A>UR.S]AG","da-a-<U+1E2B>a",NA,"Bo 6933 3'",530,"<U+1E2A>attuša","jh.","(Bo 6933)","Da<U+1E2B>a"
"br.","d]a-a-<U+1E2B>a-an-na",NA,"Bo 7863 I 7",590,"<U+1E2A>attuša","jh.","(Bo 7863)","Da<U+1E2B>a"
"br.","-<U+1E2B>]a",NA,"ABoT 2.143 4'",635,"Kussaray","k.A.","(AnAr 96-2-76)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-<U+1E2B>a-a-a[n",NA,"IBoT 3.29 r. Kol. 4'",635,"<U+1E2A>attuša","jh.","(Bo 3546)","Da<U+1E2B>a"
"br.","t]a-a-<U+1E2B>a-ya",NA,"IBoT 4.239 1'",832,"<U+1E2A>attuša","jh.","(Bo 1103)","Da<U+1E2B>a"
"br.","da-a-<U+1E2B>a [",NA,"KBo 10.10 II 8'",235,"Bk. E","jh.","(2242/c)","Da<U+1E2B>a"
"<U+1E2A>U[R.SAG","d]a-a-<U+1E2B>a",NA,"KBo 11.49 VI 6'",592,"Bk. K","jh.","(282/p)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-<U+1E2B>a-aš",NA,"KBo 13.205 lk. Kol. 3'",76,"HaH","k.A.","(588/t)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","ta-a-<U+1E2B>a-aš",NA,"KBo 15.46 Rs.? 2'",664,"T.I","mh.","(2071/g)","Da<U+1E2B>a"
"br.","-<U+1E2B>]a",NA,"KBo 22.184 6'",635,"T.I","jh.","(Bo 68/203)","Da<U+1E2B>a"
"[<U+1E2A>UR].SAG","da-a-<U+1E2B>[a",NA,"KBo 26.197 2'",527,"HaH","jh.","(261/t)","Da<U+1E2B>a"
"[<U+1E2A>U]R.SAG","ta-<U+1E2B>a-an",NA,"KBo 42.97 3'",635,"Bk. K","jh.","(Bo 92/90)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KBo 45.61 II 11'",635,"HaH","jh.","(410/s)","Da<U+1E2B>a"
"br.","d]a-a-<U+1E2B>a",NA,"KBo 45.62 Vs. 3'",635,"HaH","jh.","(585/s)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KBo 45.146 8' + Bo 5110 5'",635,"HaH","sjh.","(598/t)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-[",NA,"KBo 48.162 3'",635,"---","jh.","(2019/l)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","ta-[",NA,"KBo 49.138 r. Kol. 5'",670,"HaH","jh.","(203/t)","Da<U+1E2B>a"
